Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level,Remarks
Shandong,Jinan,Jinan_Station_6,27.724291,110.308763,2023-04-17,20.79,7.49,3.86,479.51,1.0,2.33,0.015,0.65,0.11,2.78,18.42,4.0,4.56,0.65,0.08,109,81.69,Poor,High pollution spike detected
Henan,Luoyang,Luoyang_Station_3,33.966347,102.258742,2023-09-05,15.97,6.77,7.65,346.59,2.77,1.58,0.015,0.36,0.149,2.61,16.5,4.16,2.8,0.81,0.14,105,33.03,Moderate,Requires attention
Guangdong,Guangzhou,Guangzhou_Station_7,35.212437,104.925772,2023-04-01,14.47,7.67,6.91,374.86,1.59,1.8,0.025,0.52,0.093,2.76,13.46,4.59,6.14,0.38,0.04,87,99.22,Excellent,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_2,25.603622,119.030047,2023-10-24,22.78,8.03,9.21,547.26,8.22,1.4,0.035,0.42,0.141,3.73,20.41,2.82,0.01,0.49,0.11,103,84.22,Very Poor,
Yunnan,Dali,Dali_Station_3,21.407987,109.30648,2023-12-23,14.45,7.86,8.09,475.74,0.06,1.74,0.015,0.41,0.108,2.58,17.75,5.81,6.79,0.31,0.14,84,42.62,Very Poor,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_3,37.93447,104.164486,2023-08-14,17.78,6.86,11.23,594.66,5.15,1.98,0.031,0.42,0.064,3.55,27.9,5.96,5.67,0.67,0.12,102,24.87,Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_6,36.698455,104.863316,2023-10-18,23.27,7.14,10.63,446.12,6.45,2.06,0.013,0.49,0.102,3.12,15.16,3.73,4.82,0.05,0.14,85,91.51,Moderate,Monitoring recommended
Shandong,Jinan,Jinan_Station_7,24.221005,122.224631,2023-12-13,23.44,7.27,6.59,415.4,1.17,2.31,0.024,0.24,0.179,2.62,19.34,5.75,0.88,0.16,0.12,99,38.84,Very Poor,Monitoring recommended
Yunnan,Dali,Dali_Station_9,44.066102,111.795225,2023-08-09,19.01,7.65,9.74,522.74,10.06,1.84,0.025,0.59,0.087,2.68,21.16,5.38,6.53,0.37,0.05,92,91.47,Moderate,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_9,22.284935,100.37427,2023-03-15,27.95,7.25,7.03,498.98,0.33,2.89,0.023,0.64,0.055,2.82,26.36,3.42,7.97,0.72,0.14,97,20.41,Poor,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_7,38.913262,118.750211,2023-08-06,22.63,7.12,5.61,460.73,1.68,1.1,0.016,0.65,0.056,3.01,18.88,3.33,6.68,0.83,0.15,105,34.66,Good,
Zhejiang,Hangzhou,Hangzhou_Station_9,29.658476,108.835106,2023-07-26,22.48,7.32,6.64,469.45,0.37,2.09,0.011,0.47,0.08,2.59,25.07,4.78,6.68,0.66,0.05,108,21.04,Poor,High pollution spike detected
Yunnan,Kunming,Kunming_Station_4,31.287959,124.75069,2023-09-18,24.11,7.02,5.85,545.83,5.74,2.94,0.005,0.52,0.187,3.3,24.18,2.95,5.69,0.49,0.04,93,72.16,Very Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_3,24.137717,110.875742,2023-10-05,22.52,6.73,4.05,450.48,0.86,2.24,0.01,0.29,0.107,3.43,24.99,4.09,3.66,0.56,0.13,118,82.85,Good,
Jiangsu,Suzhou,Suzhou_Station_3,30.3112,105.010252,2023-09-13,11.14,7.32,6.66,390.42,4.95,1.73,0.013,0.19,0.091,3.37,20.78,4.8,7.38,0.42,0.23,90,24.85,Moderate,Requires attention
Shanghai,Shanghai,Shanghai_Station_7,40.813361,116.067945,2023-09-06,21.08,6.82,7.12,388.35,0.14,1.9,0.018,0.53,0.077,2.8,25.36,3.71,5.77,0.32,0.08,103,61.33,Good,Requires attention
Shandong,Jinan,Jinan_Station_9,23.230814,107.663013,2023-05-12,21.37,7.78,9.2,517.57,1.78,2.68,0.011,0.27,0.12,2.71,8.7,2.76,4.38,0.51,0.1,99,89.73,Poor,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_8,22.11739,116.552205,2023-12-29,18.0,6.71,10.81,520.07,0.18,1.98,0.023,0.22,0.053,3.24,17.27,3.9,6.08,0.91,0.09,98,5.8,Excellent,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_8,34.351189,108.361858,2023-02-26,18.59,7.06,8.89,543.38,1.35,1.89,-0.0,0.18,0.136,2.18,23.74,4.12,4.66,0.48,0.13,100,55.1,Very Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_9,31.507896,115.10263,2023-10-22,21.62,6.48,6.29,472.64,2.17,1.78,0.009,0.16,0.065,3.31,21.17,2.74,4.19,0.64,0.08,102,14.96,Poor,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_8,20.752577,108.462425,2023-10-20,11.34,6.8,8.07,414.54,1.27,2.49,0.018,0.09,0.117,3.3,17.07,3.42,9.52,0.37,0.04,126,40.07,Moderate,Requires attention
Jiangsu,Suzhou,Suzhou_Station_4,38.191744,120.24396,2023-10-02,27.6,7.06,5.94,448.69,4.4,2.62,0.03,0.44,0.144,4.0,14.73,4.56,8.97,0.63,0.06,110,48.86,Moderate,High pollution spike detected
Shandong,Jinan,Jinan_Station_4,21.23437,119.934656,2023-01-14,13.61,6.46,8.47,711.68,0.92,1.97,0.022,0.5,0.051,3.73,29.4,4.55,6.2,0.53,0.15,86,49.98,Moderate,Monitoring recommended
Guangdong,Shenzhen,Shenzhen_Station_9,25.358866,124.873348,2023-08-08,27.58,6.25,8.02,431.13,10.24,1.82,0.006,0.48,0.134,2.58,9.98,6.27,5.67,0.46,0.17,110,33.85,Very Poor,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_6,27.812466,124.63909,2023-03-31,26.37,7.46,6.67,508.68,0.93,1.5,0.01,0.34,0.145,3.14,10.32,4.34,4.5,0.48,0.06,112,29.23,Good,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_7,29.639977,110.978486,2023-09-22,28.43,6.68,7.04,551.57,0.31,1.79,0.005,0.65,0.171,3.01,11.97,3.68,5.3,0.34,0.13,100,92.09,Moderate,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_9,43.500054,117.683004,2023-05-26,23.43,6.87,7.13,496.71,11.97,1.6,0.02,0.45,0.056,3.08,21.82,3.66,6.86,0.55,0.04,104,18.11,Good,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_4,20.195247,115.735434,2023-09-21,20.59,7.2,8.27,618.96,2.67,2.03,0.024,0.61,0.197,2.73,17.4,3.15,2.86,0.29,0.01,85,67.39,Poor,Monitoring recommended
Beijing,Beijing,Beijing_Station_6,44.98229,102.841808,2023-04-24,8.22,7.79,10.17,544.58,2.79,2.22,0.021,0.45,0.159,2.46,22.4,4.34,5.09,0.66,0.1,102,58.68,Good,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_1,21.78162,101.38554,2023-02-06,17.17,7.41,6.69,591.54,1.08,1.97,0.022,0.82,0.174,3.42,20.61,3.07,8.36,0.45,0.11,101,62.54,Moderate,
Yunnan,Kunming,Kunming_Station_5,38.563721,119.783637,2023-04-30,22.58,7.53,6.45,446.74,3.31,1.5,0.027,0.25,0.08,2.47,17.71,3.84,4.19,0.21,0.09,94,77.43,Moderate,Requires attention
Guangdong,Guangzhou,Guangzhou_Station_9,24.109691,103.973042,2023-03-04,24.44,7.7,9.56,478.46,17.46,1.74,0.014,0.32,0.103,3.99,12.3,1.94,5.54,0.61,0.1,91,4.34,Poor,High pollution spike detected
Shandong,Jinan,Jinan_Station_6,27.847849,101.021789,2023-08-24,20.44,6.63,8.49,375.75,6.08,2.3,0.009,0.58,0.041,3.88,14.94,3.2,2.05,0.52,0.1,103,76.2,Moderate,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_1,31.634433,121.442789,2023-09-29,19.14,6.93,12.7,594.99,3.92,1.85,0.013,0.47,0.072,3.13,13.39,4.32,8.82,0.1,0.04,111,73.42,Very Poor,
Sichuan,Chengdu,Chengdu_Station_1,26.353854,101.278122,2023-12-09,17.65,7.75,7.46,313.03,0.49,2.01,0.006,0.41,0.129,2.69,19.0,5.7,8.98,0.07,0.11,90,50.91,Very Poor,
Zhejiang,Hangzhou,Hangzhou_Station_9,32.698075,123.818983,2023-11-30,26.36,7.11,9.71,500.94,4.95,1.89,0.022,0.59,0.143,2.78,17.71,2.07,4.23,0.69,0.12,96,98.19,Very Poor,
Hubei,Yichang,Yichang_Station_3,24.651303,106.466179,2023-02-23,21.26,7.09,4.97,465.07,2.65,1.71,0.023,0.75,0.087,3.53,24.72,2.82,7.5,0.56,0.04,99,44.14,Good,Requires attention
Guangdong,Shenzhen,Shenzhen_Station_6,43.603883,124.801927,2023-11-09,13.67,6.51,6.63,415.43,0.5,1.85,0.019,0.62,0.063,3.59,13.87,4.62,8.29,0.46,0.11,95,60.13,Good,Monitoring recommended
Beijing,Beijing,Beijing_Station_7,22.503179,122.54676,2023-02-09,15.03,7.58,11.8,539.33,2.74,2.21,0.025,0.53,0.069,3.17,12.35,2.39,3.53,0.54,0.02,86,0.13,Very Poor,Monitoring recommended
Shandong,Jinan,Jinan_Station_10,38.579581,107.668232,2023-02-25,14.56,6.66,6.59,473.94,3.64,2.09,0.005,0.58,0.155,3.33,30.79,2.06,5.25,0.23,0.09,104,10.33,Good,
Jiangsu,Suzhou,Suzhou_Station_7,43.671718,117.54756,2023-11-18,19.52,6.29,8.33,596.61,5.72,2.41,0.001,0.9,0.067,3.0,16.74,2.98,2.6,0.52,0.0,113,74.39,Excellent,Requires attention
Zhejiang,Ningbo,Ningbo_Station_6,22.74501,122.232473,2023-05-28,17.83,7.41,4.75,378.65,8.94,1.96,0.018,0.63,0.192,3.73,8.34,3.69,2.31,0.69,0.1,93,64.42,Moderate,Monitoring recommended
Yunnan,Kunming,Kunming_Station_1,32.018078,117.251038,2023-07-22,18.06,7.36,6.62,358.95,2.2,1.26,0.01,0.28,0.12,3.18,21.97,5.17,4.84,0.34,0.21,102,96.99,Very Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_10,32.670529,105.103992,2023-02-09,26.45,7.33,7.04,662.93,2.95,2.44,0.004,0.59,0.042,2.43,16.41,4.19,2.42,0.38,0.1,105,47.04,Very Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_2,20.518005,102.533966,2023-08-03,15.79,6.37,9.65,532.17,1.02,1.6,0.019,0.61,0.077,3.38,21.96,3.42,7.25,0.35,0.14,95,93.51,Excellent,Requires attention
Sichuan,Mianyang,Mianyang_Station_4,42.733072,107.060871,2023-04-05,20.91,6.07,8.92,489.08,2.04,2.25,0.024,0.1,0.047,3.17,21.0,3.21,6.48,0.45,0.14,102,18.84,Excellent,
Yunnan,Dali,Dali_Station_10,20.067684,104.272992,2023-03-24,22.29,7.68,10.4,471.45,0.1,1.76,0.009,0.65,0.161,3.46,32.43,3.54,6.19,0.26,0.09,103,33.38,Very Poor,Monitoring recommended
Guangdong,Shenzhen,Shenzhen_Station_4,27.215761,102.418145,2023-03-02,17.7,6.99,8.55,439.95,2.8,2.21,0.028,0.53,0.091,3.01,21.23,2.9,6.53,0.72,0.09,89,44.54,Very Poor,
Sichuan,Mianyang,Mianyang_Station_9,36.042417,110.749128,2023-06-18,15.75,7.73,10.87,411.34,1.28,1.5,0.025,0.52,0.138,2.7,25.4,3.86,10.18,0.18,0.22,118,26.98,Excellent,Requires attention
Beijing,Beijing,Beijing_Station_2,21.115055,111.217689,2023-03-15,12.61,6.74,10.21,517.78,8.89,2.19,0.002,0.17,0.025,2.81,10.64,3.31,2.26,0.6,0.12,94,87.38,Moderate,
Jiangsu,Suzhou,Suzhou_Station_2,24.536796,109.5919,2023-05-07,23.42,6.46,10.76,714.87,9.81,1.86,0.013,0.77,0.108,3.32,17.05,2.76,4.2,0.44,0.11,100,35.64,Excellent,Requires attention
Henan,Luoyang,Luoyang_Station_9,40.950066,120.050478,2023-01-07,25.87,8.06,5.14,307.68,1.29,2.3,0.019,0.49,0.104,4.26,28.9,3.31,7.1,0.6,0.1,105,13.32,Good,Requires attention
Hubei,Yichang,Yichang_Station_5,44.019628,103.536196,2023-07-19,23.19,6.65,7.13,352.2,12.65,1.94,0.03,0.76,-0.006,2.94,12.95,3.61,4.99,0.43,0.05,105,42.3,Very Poor,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_9,23.950007,108.917847,2023-07-16,24.86,7.07,6.35,460.78,3.36,1.76,0.023,0.44,0.098,2.99,17.38,4.82,4.05,0.3,0.21,97,4.04,Moderate,Requires attention
Hubei,Wuhan,Wuhan_Station_7,34.502297,106.624145,2023-03-26,19.27,6.94,8.82,409.67,5.42,2.23,0.026,0.93,0.052,3.07,29.85,6.18,4.27,0.9,0.14,103,64.28,Poor,Requires attention
Beijing,Beijing,Beijing_Station_2,23.971775,110.567596,2023-09-16,29.97,7.11,4.86,469.25,0.01,3.03,0.034,0.49,0.112,2.36,17.74,4.62,2.15,0.44,0.2,113,28.49,Poor,Requires attention
Beijing,Beijing,Beijing_Station_7,21.564128,114.411278,2023-03-02,18.71,6.75,8.11,544.14,2.34,1.94,0.03,0.58,0.092,3.1,21.0,5.48,5.13,0.56,0.04,109,3.98,Very Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_2,34.677387,117.519952,2023-02-20,16.8,7.25,6.57,522.63,14.67,1.51,0.013,0.7,0.144,1.27,19.59,4.15,3.08,0.42,0.17,88,12.21,Excellent,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_6,30.1051,107.075865,2023-02-24,17.24,6.7,10.87,528.46,1.89,1.96,0.012,0.34,0.136,2.74,22.55,3.37,2.74,0.55,0.1,109,18.6,Poor,Requires attention
Sichuan,Chengdu,Chengdu_Station_5,38.06329,124.05097,2023-03-14,18.09,6.9,10.54,629.5,0.5,2.58,0.029,0.31,0.058,2.65,17.02,2.18,6.58,0.41,0.12,99,48.17,Good,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_9,21.909088,120.73646,2023-06-04,19.75,7.74,8.36,420.53,7.11,2.15,0.007,0.61,0.133,3.13,21.07,3.86,6.3,0.78,0.12,93,22.25,Excellent,
Jiangsu,Nanjing,Nanjing_Station_8,22.388203,119.602063,2023-10-17,17.59,7.12,9.73,608.13,1.44,2.35,0.006,0.6,0.117,3.42,20.83,5.43,4.75,0.45,0.05,93,12.33,Poor,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_4,30.190416,107.925879,2023-08-22,15.37,6.73,4.97,554.87,1.5,3.08,0.018,0.49,0.096,3.78,11.93,3.94,1.75,0.02,0.06,87,99.29,Excellent,High pollution spike detected
Jiangsu,Suzhou,Suzhou_Station_9,30.880922,101.851621,2023-02-22,28.13,6.32,11.38,474.03,0.69,1.1,0.021,0.45,0.041,3.2,16.31,5.73,0.13,0.55,0.1,84,86.95,Excellent,
Sichuan,Chengdu,Chengdu_Station_2,41.090583,111.327289,2023-05-21,7.54,7.33,5.77,395.22,1.82,2.17,0.026,0.71,0.13,3.34,12.94,5.48,4.58,0.71,0.03,114,6.66,Very Poor,High pollution spike detected
Jiangsu,Suzhou,Suzhou_Station_8,20.364251,122.354072,2023-07-13,9.23,7.11,8.7,513.35,3.32,3.05,0.015,0.44,0.078,3.12,22.94,5.09,6.51,0.4,0.14,119,69.65,Excellent,High pollution spike detected
Yunnan,Kunming,Kunming_Station_7,36.848053,103.650574,2023-08-31,15.16,7.12,9.5,441.19,4.82,2.03,0.032,0.64,0.09,3.28,17.83,4.24,2.85,0.49,0.15,108,73.65,Poor,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_2,37.657099,123.396865,2023-06-03,19.51,7.39,6.81,457.74,4.08,1.12,0.031,0.51,0.11,3.28,15.09,3.6,8.01,0.4,0.09,91,91.76,Moderate,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_4,33.716975,112.865012,2023-10-27,19.33,6.61,9.88,507.65,30.37,1.77,0.022,0.84,0.043,2.35,15.7,4.7,5.25,0.21,0.1,101,89.57,Moderate,High pollution spike detected
Zhejiang,Hangzhou,Hangzhou_Station_6,34.712156,110.904453,2023-02-08,16.98,7.29,4.66,599.06,0.05,1.88,0.018,0.4,0.134,2.68,18.2,2.74,5.76,0.69,0.08,98,49.79,Moderate,Requires attention
Jiangsu,Suzhou,Suzhou_Station_1,38.547825,107.497739,2023-12-27,27.28,6.71,7.63,717.12,7.81,1.9,0.027,0.5,0.228,2.9,21.76,3.25,6.74,0.56,0.08,93,21.68,Good,Monitoring recommended
Hubei,Yichang,Yichang_Station_7,26.857897,115.080727,2023-04-20,11.05,7.5,10.54,467.29,10.95,2.22,0.005,0.35,0.149,3.33,7.5,4.38,2.94,0.38,0.09,97,58.87,Good,High pollution spike detected
Hubei,Yichang,Yichang_Station_3,31.422009,112.759983,2023-08-28,22.7,6.79,10.65,496.69,2.6,2.01,0.025,0.82,0.092,3.52,16.93,4.23,2.11,0.4,0.05,119,63.24,Good,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_2,34.144223,115.114327,2023-01-05,15.17,7.12,9.36,312.51,1.04,1.7,0.015,0.83,0.085,3.29,20.26,2.64,1.31,0.6,0.19,115,73.51,Good,
Hubei,Wuhan,Wuhan_Station_2,39.256573,108.475893,2023-10-09,14.91,6.46,6.6,597.61,4.14,2.36,0.014,0.25,0.12,2.11,21.71,2.87,2.31,0.51,0.09,96,35.62,Poor,Monitoring recommended
Beijing,Beijing,Beijing_Station_4,35.340597,110.007839,2023-09-28,25.93,7.45,6.61,534.25,5.35,1.24,0.0,0.87,0.085,2.45,14.28,4.17,4.21,0.12,0.14,106,46.92,Poor,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_3,33.950333,104.435261,2023-10-23,31.34,7.09,5.46,596.32,0.76,2.21,0.01,0.45,0.15,3.26,16.67,5.02,5.61,0.55,0.07,81,47.27,Excellent,Requires attention
Shanghai,Shanghai,Shanghai_Station_6,35.49461,118.096953,2023-11-30,23.82,6.8,7.07,395.85,7.44,1.82,0.028,0.35,0.108,2.8,18.78,4.76,4.25,0.66,0.0,98,96.96,Very Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_5,40.499009,101.501062,2023-07-09,24.53,6.27,6.67,487.89,3.36,2.39,0.029,0.26,0.225,3.14,22.01,4.5,5.99,0.38,0.21,125,87.34,Good,Requires attention
Sichuan,Mianyang,Mianyang_Station_3,25.329725,120.317883,2023-05-15,15.38,6.87,7.85,333.84,6.04,1.98,0.023,1.02,0.208,3.64,34.27,3.06,6.31,0.52,0.01,89,88.84,Excellent,High pollution spike detected
Beijing,Beijing,Beijing_Station_10,23.63347,117.144917,2023-06-27,18.92,7.57,7.29,522.73,0.21,1.77,0.035,0.49,0.158,3.21,22.19,3.76,6.0,0.47,0.06,111,82.93,Good,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_9,44.280497,118.499603,2023-08-24,15.7,7.34,7.39,562.05,3.47,1.39,0.017,0.27,0.074,2.72,17.35,5.44,4.89,0.69,0.11,104,66.76,Very Poor,High pollution spike detected
Yunnan,Kunming,Kunming_Station_6,31.382444,100.71709,2023-12-12,29.35,6.75,6.56,578.35,7.31,2.36,0.026,0.5,0.091,2.6,22.4,3.34,5.48,0.48,0.03,104,18.52,Moderate,Requires attention
Henan,Luoyang,Luoyang_Station_9,33.177074,108.278782,2023-04-30,16.78,6.64,6.95,363.42,5.3,2.74,0.017,0.37,0.119,3.03,19.01,4.22,5.07,0.46,0.15,96,15.24,Poor,Monitoring recommended
Shandong,Jinan,Jinan_Station_8,24.097413,105.14849,2023-05-21,18.5,6.78,8.44,503.53,2.33,1.02,0.015,0.44,0.086,2.36,18.43,3.09,4.33,0.16,0.08,96,42.81,Excellent,High pollution spike detected
Beijing,Beijing,Beijing_Station_7,33.190223,115.46016,2023-01-29,24.53,7.2,7.86,420.25,22.67,2.21,0.023,0.7,0.14,3.4,20.22,4.34,5.65,0.26,0.15,102,14.91,Very Poor,
Shandong,Qingdao,Qingdao_Station_5,32.992591,113.734554,2023-06-10,21.75,7.17,9.02,610.04,2.28,2.04,0.043,0.66,0.102,2.65,19.45,4.15,7.93,0.75,0.12,98,79.98,Very Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_10,44.51095,103.503046,2023-03-23,13.29,7.27,11.11,636.98,6.62,2.17,0.021,0.9,0.122,2.88,15.94,4.76,6.97,0.51,0.07,115,85.86,Good,
Jiangsu,Nanjing,Nanjing_Station_3,20.380961,123.451194,2023-04-04,18.87,7.32,7.09,671.84,5.32,1.36,0.008,0.28,0.088,2.77,25.12,4.88,4.55,1.12,0.09,89,97.13,Excellent,Monitoring recommended
Beijing,Beijing,Beijing_Station_7,34.451744,101.806858,2023-12-16,12.85,6.29,7.59,483.93,6.74,1.63,0.028,0.24,0.046,3.09,24.23,4.31,4.55,0.44,0.15,101,97.34,Moderate,High pollution spike detected
Sichuan,Chengdu,Chengdu_Station_7,22.883446,108.112465,2023-05-28,15.83,6.65,8.24,419.66,0.07,1.64,0.018,0.4,0.095,2.77,22.62,4.82,4.24,0.34,0.14,82,39.07,Excellent,High pollution spike detected
Zhejiang,Hangzhou,Hangzhou_Station_5,23.369722,113.694403,2023-02-26,18.43,7.77,6.72,297.34,6.9,1.74,0.02,0.7,0.096,3.3,19.05,4.6,5.36,0.42,0.11,92,17.01,Excellent,Monitoring recommended
Hubei,Wuhan,Wuhan_Station_8,25.37435,111.943373,2023-10-17,3.39,6.7,7.84,556.37,7.7,1.99,0.005,0.28,0.016,3.54,17.7,5.33,-0.36,0.81,0.1,88,23.95,Poor,Requires attention
Beijing,Beijing,Beijing_Station_10,24.69509,115.362821,2023-05-29,18.06,7.41,9.92,332.69,1.01,1.68,0.004,0.57,-0.009,3.66,29.93,2.69,7.1,0.57,0.07,112,40.71,Poor,Monitoring recommended
Yunnan,Kunming,Kunming_Station_3,39.352356,109.832542,2023-05-08,36.44,6.93,7.35,511.33,6.39,1.97,0.013,0.46,0.163,3.13,21.88,2.75,4.3,0.51,0.13,112,33.53,Very Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_4,27.72706,110.561727,2023-03-29,20.08,7.17,7.25,451.98,3.29,1.98,0.014,0.78,0.079,3.18,13.84,4.24,4.17,0.34,0.24,92,27.17,Very Poor,Monitoring recommended
Jiangsu,Suzhou,Suzhou_Station_6,39.31932,114.406027,2023-03-09,22.77,7.21,9.18,625.93,3.61,1.6,0.035,0.59,0.145,3.17,29.39,3.68,5.99,0.76,0.07,100,34.64,Good,High pollution spike detected
Yunnan,Kunming,Kunming_Station_9,37.895657,118.403189,2023-01-21,24.22,6.86,10.63,209.13,2.02,2.45,0.007,0.37,0.129,3.42,28.02,3.41,3.37,0.83,0.06,104,76.84,Good,Requires attention
Guangdong,Shenzhen,Shenzhen_Station_10,35.585452,108.142948,2023-01-20,23.13,7.68,6.72,611.07,10.65,2.58,0.024,0.2,0.112,1.92,23.57,3.77,8.81,0.6,0.15,105,98.42,Poor,
Shanghai,Shanghai,Shanghai_Station_3,24.012219,102.473635,2023-09-02,22.15,7.25,8.85,298.62,0.74,1.42,0.021,0.9,0.136,2.98,7.69,3.46,5.95,0.4,0.17,113,2.23,Poor,
Yunnan,Dali,Dali_Station_5,25.488312,108.526319,2023-01-23,17.04,7.16,6.93,546.85,2.12,2.55,0.016,0.6,0.074,2.46,22.78,3.25,4.2,0.25,0.08,102,50.6,Moderate,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_8,43.009997,113.771149,2023-08-03,11.82,8.26,6.82,487.95,4.0,2.17,0.001,0.73,0.021,2.87,16.34,4.31,4.63,0.55,0.16,101,93.24,Excellent,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_8,34.418534,102.160282,2023-12-18,22.39,6.54,7.27,503.16,0.32,2.4,0.017,0.76,0.12,2.52,19.1,2.53,0.43,0.31,0.11,90,53.72,Excellent,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_2,20.818951,120.464797,2023-04-24,27.47,6.83,12.85,536.84,6.43,2.03,0.016,0.64,0.092,2.71,9.51,3.92,7.19,0.75,0.1,107,1.69,Very Poor,Requires attention
Sichuan,Mianyang,Mianyang_Station_7,29.768989,104.059362,2023-05-03,25.73,6.97,8.42,598.59,2.94,2.37,0.028,0.33,0.104,2.96,23.91,5.36,2.13,0.29,0.13,111,18.67,Moderate,
Jiangsu,Suzhou,Suzhou_Station_10,38.4938,109.294962,2023-04-07,27.74,6.69,8.2,424.63,1.71,2.25,0.03,0.57,-0.088,3.25,12.71,2.13,1.02,0.08,0.11,93,13.19,Good,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_10,22.544504,101.356624,2023-04-11,29.76,7.04,10.37,550.7,3.01,2.69,0.021,0.85,0.069,2.02,12.23,3.33,6.07,0.27,0.07,96,57.94,Poor,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_8,34.620438,123.905124,2023-07-26,23.02,7.31,4.68,654.98,9.03,2.46,0.028,0.47,0.03,3.01,25.69,4.82,8.42,0.4,0.14,102,69.02,Excellent,Requires attention
Jiangsu,Suzhou,Suzhou_Station_7,35.811255,103.183686,2023-06-09,15.77,7.87,7.57,399.67,1.08,1.1,0.007,0.67,0.137,2.86,20.32,4.2,5.92,0.57,0.03,99,88.97,Excellent,
Shandong,Jinan,Jinan_Station_1,26.334871,121.641911,2023-02-13,16.14,6.94,7.32,695.29,0.49,2.03,0.012,0.29,0.089,3.33,15.48,3.79,7.71,0.4,0.1,81,54.39,Good,Monitoring recommended
Henan,Luoyang,Luoyang_Station_10,32.153387,110.352293,2023-03-30,23.23,7.74,6.15,473.82,7.59,2.67,0.012,0.84,0.105,3.5,35.34,4.18,4.81,0.29,0.09,98,50.25,Very Poor,Requires attention
Hubei,Yichang,Yichang_Station_7,28.623284,111.689947,2023-10-28,10.37,7.36,9.16,546.71,2.29,1.95,0.036,0.44,0.087,2.55,18.08,2.27,0.74,0.62,0.01,88,33.24,Good,
Shandong,Jinan,Jinan_Station_4,44.221847,103.208584,2023-09-03,28.02,7.34,4.9,650.52,3.5,2.22,0.023,0.45,0.058,2.82,27.29,3.08,1.52,0.21,0.1,89,55.88,Moderate,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_10,37.762991,103.956798,2023-12-20,12.89,7.11,10.15,586.96,1.5,2.67,0.014,0.78,0.089,3.36,25.73,2.52,5.9,0.79,0.07,104,5.12,Excellent,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_5,36.875165,104.710469,2023-09-18,14.41,7.41,11.36,499.78,4.14,1.64,0.012,0.53,0.242,3.55,19.53,4.04,7.4,0.32,0.13,106,83.21,Excellent,
Guangdong,Shenzhen,Shenzhen_Station_2,21.898774,101.998469,2023-09-24,20.36,6.95,10.07,369.0,3.34,2.71,0.007,0.54,0.137,2.77,26.06,5.09,4.83,0.7,-0.02,104,58.26,Very Poor,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_4,28.984392,100.837565,2023-03-31,19.14,6.44,7.87,277.56,10.21,1.97,0.02,0.49,0.149,2.69,22.1,2.86,6.48,0.44,0.1,88,23.97,Moderate,Monitoring recommended
